Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#144 Meyer, Andre
Division Production Optics Class U Category S. Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
5 3.7284 112 21 2 1 0 0 0 0 30.04
6 5.1101 58 11 1 0 0 0 0 0 11.35
7 4.8682 144 25 6 1 0 0 0 0 29.58
8 4.8288 55 11 0 0 0 0 0 0 11.39
9 3.8647 104 17 6 1 0 0 0 0 26.91
10 3.3266 115 23 0 0 0 0 0 0 34.57
11 6.4194 45 9 0 0 0 0 0 0 7.01
12 4.0187 53 10 1 0 0 1 0 0 10.70
13 4.7244 144 24 8 0 0 0 0 0 30.48
14 4.8171 108 18 6 0 0 0 0 0 22.42
15 2.7139 95 16 4 3 0 1 0 0 31.32
16 6.3134 56 10 2 0 0 0 0 0 8.87
17 4.2090 58 11 1 0 0 0 0 0 13.78
18 3.2340 51 9 2 0 0 0 0 0 15.77
19 5.0605 46 8 2 0 0 0 0 0 9.09
#398 Persson, Daniel
Division Open Class U Category Senior Factor Major Squad 37
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.8032 105 17 4 2 0 1 0 0 33.89
2 5.2004 48 8 1 2 0 0 0 0 9.23
3 4.9915 117 21 3 0 0 0 0 0 23.44
4 0.2351 128 24 2 0 0 6 0 6 34.03
5 5.4998 115 19 5 0 0 0 0 0 20.91
6 5.9717 59 11 1 0 0 0 0 0 9.88
7 3.8233 142 24 5 1 0 2 0 0 31.91
8 4.6944 53 9 2 0 0 0 0 0 11.29
9 3.6405 113 17 7 0 0 0 0 0 31.04
10 5.8762 113 21 2 0 0 0 0 0 19.23
11 7.8358 42 8 0 1 0 0 0 0 5.36
12 2.9655 53 9 2 0 0 1 0 0 14.50
13 5.6499 143 21 8 3 0 0 0 0 25.31
14 3.4984 99 11 10 2 0 1 0 0 25.44
15 1.7828 94 16 3 1 0 4 0 0 30.29
16 4.4614 51 7 4 0 0 1 0 0 9.19
17 2.8306 58 10 2 0 0 0 0 0 20.49
18 3.3909 55 11 0 0 0 0 0 0 16.22
19 5.8323 48 8 2 0 0 0 0 0 8.23
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 23 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#401 Buchholz, Katja
Division Open Class U Category Lady Factor Major Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.9309 109 15 8 1 0 0 0 0 37.19
2 4.0529 49 7 3 1 0 0 0 0 12.09
3 2.5628 103 13 8 3 0 0 0 0 40.19
4 4.2436 147 21 10 1 0 0 0 0 34.64
5 3.1314 107 17 4 3 0 0 0 0 34.17
6 4.2411 57 9 3 0 0 0 0 0 13.44
7 3.8217 144 18 13 1 0 0 0 0 37.68
8 3.5480 54 10 1 0 0 0 0 0 15.22
9 1.9194 100 14 7 1 0 2 0 0 41.68
10 3.4947 109 19 3 1 0 0 0 0 31.19
11 0.0000 25 5 0 0 0 4 1 0 15.77
12 2.8659 56 10 1 1 0 0 0 0 19.54
13 3.7046 147 23 7 2 0 0 0 0 39.68
14 4.1570 107 13 10 1 0 0 0 0 25.74
15 0.6393 83 11 6 2 0 5 0 0 51.62
16 2.7143 57 9 3 0 0 0 0 0 21.00
17 0.5515 46 8 1 1 0 2 0 0 47.14
18 1.4987 49 9 1 0 0 1 1 0 19.35
19 3.3579 41 5 3 2 0 0 0 0 12.21
#402 Henghuber, Alexander
Division Open Class U Category Factor Major Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.3863 109 17 5 2 0 0 0 0 24.85
2 4.1374 53 9 2 0 0 0 0 0 12.81
3 4.7745 108 14 9 1 0 0 0 0 22.62
4 5.0756 151 23 9 0 0 0 0 0 29.75
5 4.9166 109 13 11 0 0 0 0 0 22.17
6 4.1667 50 8 2 1 0 1 0 0 9.60
7 5.0859 151 23 9 0 0 0 0 0 29.69
8 5.0093 54 10 1 0 0 0 0 0 10.78
9 3.2747 100 16 4 2 0 2 0 0 24.43
10 4.6888 110 18 5 0 0 0 0 0 23.46
11 6.3202 45 9 0 0 0 0 0 0 7.12
12 3.6776 57 9 3 0 0 0 1 0 12.78
13 4.3852 148 24 6 2 0 0 0 0 33.75
14 5.5732 105 13 9 2 0 0 0 0 18.84
15 3.5259 104 14 8 1 0 1 0 0 26.66
16 5.6158 57 9 3 0 0 0 0 0 10.15
17 5.7282 59 11 1 0 0 0 0 0 10.30
18 2.2803 44 4 6 0 0 1 0 0 14.91
19 5.5355 46 6 4 0 0 0 0 0 8.31
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 24 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#403 Barucha, Rudolf
Division Open Class U Category S. Senior Factor Minor Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
3 2.2621 102 17 5 2 0 0 0 0 45.09
4 0.5130 126 24 2 0 0 6 0 4 50.68
12 0.0000 26 4 2 0 0 6 0 5 13.69
#404 Regbo, Jon
Division Production Class U Category Factor Minor Squad 20
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.0539 98 15 7 2 0 0 0 0 32.09
2 5.1607 53 10 1 0 0 0 0 0 10.27
3 2.6695 102 17 5 2 0 0 0 0 38.21
4 3.9470 138 22 9 1 0 0 1 0 32.43
5 3.5981 106 17 7 0 0 0 0 0 29.46
6 4.4287 50 8 3 1 0 0 0 0 11.29
7 3.8990 142 25 5 2 0 0 0 0 36.42
8 3.1923 50 10 0 0 0 1 0 0 12.53
9 3.0213 112 20 4 0 0 0 0 0 37.07
10 2.9656 105 21 0 0 0 2 0 1 25.29
11 4.1070 43 8 1 0 0 0 0 0 10.47
12 2.2185 50 8 3 1 0 0 1 0 18.03
13 3.6369 139 25 4 2 0 1 0 0 35.47
14 3.9474 108 19 4 1 0 0 0 0 27.36
15 1.3695 86 14 5 1 0 4 0 0 33.59
16 4.6140 52 8 4 0 0 0 0 0 11.27
17 5.1235 56 10 2 0 0 0 0 0 10.93
18 2.5167 44 7 3 0 0 1 0 0 13.51
19 4.2945 42 6 4 0 0 0 0 0 9.78
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 25 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#405 Schmidt, Anders
Division Standard Class U Category Factor Minor Squad 39
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.9242 101 17 5 1 0 1 0 0 31.12
2 5.6793 51 9 2 0 0 0 0 0 8.98
3 3.1363 104 18 4 2 0 0 0 0 33.16
4 4.5632 152 28 4 0 0 0 0 0 33.31
5 2.6511 88 12 9 1 0 2 0 0 25.65
6 5.1185 54 9 3 0 0 0 0 0 10.55
7 4.1870 146 26 5 1 0 0 0 0 34.87
8 3.0549 49 8 3 0 0 0 0 0 16.04
9 3.4426 104 16 8 0 0 0 0 0 30.21
10 3.9833 105 18 5 0 0 0 0 0 26.36
11 4.7619 39 6 3 0 0 0 0 0 8.19
12 3.9970 54 10 1 1 0 0 0 0 13.51
13 3.7274 134 22 7 3 0 0 0 0 35.95
14 4.0959 94 14 7 3 0 0 0 0 22.95
15 0.7888 77 11 7 1 0 5 0 0 34.23
16 0.0000 33 5 2 2 0 3 2 0 9.85
17 3.9273 54 9 3 0 0 0 0 0 13.75
18 3.1064 47 8 2 1 0 0 0 0 15.13
19 4.7952 48 9 1 0 0 0 0 0 10.01
#408 Henriksen, Preben
Division Standard Class U Category Grand Senior Factor Major Squad 39
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.1076 101 11 11 1 0 1 0 0 82.16
2 3.0552 52 8 3 0 0 0 0 0 17.02
3 0.6787 98 18 2 0 0 4 2 0 55.99
4 1.5957 131 21 6 1 0 4 0 1 50.76
5 0.8799 92 14 4 3 0 3 0 1 59.10
6 3.1179 55 9 2 1 0 0 0 0 17.64
7 2.2887 147 27 2 2 0 1 0 0 59.86
8 1.5437 46 8 1 1 0 1 0 0 23.32
9 0.8162 94 14 6 0 0 4 1 0 53.91
10 1.5535 101 19 1 1 0 2 0 0 52.14
11 2.6316 37 5 3 0 0 1 0 0 10.26
12 1.5312 49 7 3 1 0 1 0 0 25.47
13 1.6636 129 21 5 2 0 4 0 0 53.50
14 0.5270 80 6 11 3 0 4 1 0 56.93
15 1.5775 97 13 7 2 0 2 0 0 48.81
16 2.8659 57 9 3 0 0 0 1 0 16.40
17 1.5357 60 12 0 0 0 0 0 0 39.07
18 2.0472 52 8 3 0 0 0 0 0 25.40
19 2.8694 47 7 3 0 0 0 0 0 16.38
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 26 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#409 Coolen, Patrick
Division Open Class U Category Senior Factor Major Squad 38
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.1912 98 14 7 0 0 3 0 1 48.69
2 4.0602 54 10 1 0 0 0 0 0 13.30
3 2.6135 118 22 2 0 0 0 0 0 45.15
4 2.1305 142 22 8 0 0 2 0 1 52.57
5 2.1788 107 15 8 0 0 1 0 0 44.52
6 2.4253 56 8 4 0 0 0 0 0 23.09
7 3.3260 152 24 8 0 0 0 0 0 45.70
8 3.1052 54 10 1 0 0 0 0 0 17.39
9 1.3043 98 12 9 1 0 2 0 0 59.80
10 2.2585 108 16 7 0 0 0 0 0 47.82
11 1.3514 34 6 1 0 0 2 0 0 10.36
12 1.3766 55 7 5 0 0 0 1 0 32.69
13 1.7376 130 18 9 2 0 3 0 0 57.55
14 3.0882 105 15 6 3 0 0 0 0 34.00
15 1.4027 99 15 5 2 0 2 0 0 56.32
16 2.8542 55 7 5 0 0 0 0 0 19.27
17 3.8515 55 7 5 0 0 0 0 0 14.28
18 1.5450 49 9 1 0 0 1 1 0 18.77
19 4.3393 44 4 6 0 0 0 0 0 10.14
#412 Kalinen, Riku
Division Production Class U Category S. Senior Factor Minor Squad 30
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.5823 98 16 5 3 0 0 0 0 37.95
2 4.3902 45 7 3 1 0 0 0 0 10.25
3 1.4575 91 15 5 1 0 3 2 0 28.13
4 2.7634 144 24 8 0 0 0 0 0 52.11
5 3.3989 102 15 9 0 0 0 0 0 30.01
6 4.7577 54 9 3 0 0 0 0 0 11.35
7 3.8344 138 22 9 1 0 0 0 0 35.99
8 3.4996 47 8 2 1 0 0 0 0 13.43
9 2.7793 102 16 7 1 0 0 0 0 36.70
10 2.6519 96 18 1 3 0 1 0 0 32.43
11 5.3385 41 7 2 0 0 0 0 0 7.68
12 2.7027 49 8 3 0 0 1 0 0 14.43
13 3.5403 134 21 9 2 0 0 0 0 37.85
14 3.2825 84 10 10 4 0 0 0 0 25.59
15 1.8177 92 14 7 1 0 2 0 0 39.61
16 3.7111 47 7 4 0 0 1 0 0 9.97
17 3.4417 54 9 3 0 0 0 0 0 15.69
18 2.6860 39 4 6 1 0 0 0 0 14.52
19 4.4164 42 6 4 0 0 0 0 0 9.51
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 27 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#413 Konttinen, Timo
Division Production Class U Category S. Senior Factor Minor Squad 30
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.5970 85 14 4 3 0 3 0 0 34.44
2 2.8997 37 4 5 2 0 0 0 0 12.76
3 3.3824 95 14 8 1 0 1 0 0 25.13
4 2.2509 136 24 5 1 0 2 2 0 42.65
5 3.2734 102 17 5 2 0 0 0 0 31.16
6 2.0690 43 5 6 0 0 1 0 0 15.95
7 3.8589 140 24 6 2 0 0 0 0 36.28
8 3.5565 51 9 2 0 0 0 0 0 14.34
9 2.5061 102 16 7 1 0 0 0 0 40.70
10 2.5602 101 16 7 0 0 0 0 0 39.45
11 2.6994 32 5 2 1 0 1 0 0 8.15
12 3.5242 56 10 2 0 0 0 0 0 15.89
13 4.1315 132 21 8 3 0 0 0 0 31.95
14 1.8897 79 10 9 2 0 3 0 0 25.93
15 1.2726 87 13 7 1 0 3 0 0 44.79
16 4.5369 48 6 6 0 0 0 0 0 10.58
17 3.9706 54 9 3 0 0 0 0 0 13.60
18 2.7304 50 10 0 0 0 1 0 0 14.65
19 4.1905 44 7 3 0 0 0 0 0 10.50
#414 Dijkman, Bernd
Division Optics Class U Category Senior Factor Minor Squad 38
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.6455 116 22 2 0 0 0 0 0 31.82
2 5.5936 49 8 3 0 0 0 0 0 8.76
3 3.3564 102 17 5 2 0 0 0 0 30.39
4 3.0734 130 23 5 0 0 4 0 1 26.03
5 3.7313 110 19 5 0 0 0 0 0 29.48
6 3.6835 54 9 3 0 0 0 0 0 14.66
7 3.7284 140 22 10 0 0 0 0 0 37.55
8 4.5008 55 11 0 0 0 0 0 0 12.22
9 3.2005 106 17 7 0 0 0 0 0 33.12
10 4.0088 109 20 3 0 0 0 0 0 27.19
11 4.0936 35 5 3 1 0 0 0 0 8.55
12 2.7076 50 10 0 0 0 2 0 0 11.08
13 3.7967 137 22 9 0 0 1 0 0 33.45
14 4.1397 96 13 10 1 0 0 0 0 23.19
15 2.7479 92 11 12 1 0 0 0 0 33.48
16 5.7878 54 9 3 0 0 0 0 0 9.33
17 5.3191 60 12 0 0 0 0 0 0 11.28
18 3.4023 51 9 2 0 0 0 0 0 14.99
19 4.6771 42 6 4 0 0 0 0 0 8.98
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 28 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#416 Koski, Kaisa
Division Standard Class U Category Lady Factor Major Squad 30
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.0106 106 14 8 2 0 0 0 0 26.43
2 5.5615 52 8 3 0 0 0 0 0 9.35
3 4.3376 111 17 6 1 0 0 0 0 25.59
4 5.3036 155 27 5 0 0 0 1 0 27.34
5 4.0567 103 11 11 2 0 0 0 0 25.39
6 4.3247 57 9 3 0 0 0 0 0 13.18
7 4.7451 148 22 9 1 0 0 0 0 31.19
8 4.9906 53 9 2 0 0 0 0 0 10.62
9 3.6988 111 17 6 1 0 0 0 0 30.01
10 3.9576 112 20 3 0 0 0 0 0 28.30
11 5.7720 40 6 2 1 0 0 0 0 6.93
12 3.9882 54 8 3 1 0 0 0 0 13.54
13 3.7439 140 24 5 0 0 3 0 1 26.71
14 4.5683 109 15 8 1 0 0 0 0 23.86
15 2.3459 95 13 6 3 0 2 0 0 31.97
16 5.0984 57 9 3 0 0 0 0 0 11.18
17 4.7337 56 8 4 0 0 0 0 0 11.83
18 3.5660 47 5 5 1 0 0 0 0 13.18
19 5.1903 45 7 2 1 0 0 0 0 8.67
#417 Koski, Anitra
Division Optics Class U Category S. Junior Factor Minor Squad 30
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.6977 92 14 7 1 0 2 0 1 36.52
2 5.2745 49 8 3 0 0 0 0 0 9.29
3 2.6886 98 16 5 3 0 0 0 0 36.45
4 3.6084 146 25 7 0 0 0 1 0 37.69
5 2.4207 97 14 9 0 0 1 0 0 35.94
6 4.5302 54 9 3 0 0 0 0 0 11.92
7 2.9803 130 21 7 4 0 0 0 0 43.62
8 2.6366 55 11 0 0 0 0 0 0 20.86
9 2.2992 89 12 9 2 0 1 0 0 34.36
10 3.8853 103 18 4 1 0 0 0 0 26.51
11 3.9785 37 6 2 1 0 0 0 0 9.30
12 2.1385 52 9 2 1 0 0 1 0 19.64
13 2.9600 134 22 7 3 0 0 0 0 45.27
14 3.6364 94 12 11 1 0 0 0 0 25.85
15 1.2920 93 16 4 1 0 3 0 0 48.76
16 3.5533 56 10 2 0 0 0 0 0 15.76
17 3.8339 60 12 0 0 0 0 0 0 15.65
18 1.5425 41 4 7 0 0 0 0 0 26.58
19 3.9451 46 8 2 0 0 0 0 0 11.66
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 29 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#418 Koski, Mikko
Division Open Class U Category Senior Factor Major Squad 30
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.0014 117 21 3 0 0 0 0 0 29.24
2 4.8406 51 7 4 0 0 0 1 0 8.47
3 5.3069 115 19 5 0 0 0 0 0 21.67
4 5.4064 151 27 4 0 0 1 0 0 26.08
5 4.9165 106 10 14 0 0 0 0 0 21.56
6 7.2207 53 7 4 1 0 0 0 0 7.34
7 5.5576 148 22 9 1 0 0 0 0 26.63
8 5.1707 53 9 2 0 0 0 0 0 10.25
9 4.2791 111 15 9 0 0 0 0 0 25.94
10 4.9128 103 17 4 1 0 1 0 0 18.93
11 5.6051 44 8 1 0 0 0 0 0 7.85
12 5.0083 60 12 0 0 0 0 0 0 11.98
13 5.3534 153 27 4 1 0 0 0 0 28.58
14 5.5165 102 12 9 3 0 0 0 0 18.49
15 3.1163 112 18 5 1 0 0 0 0 35.94
16 6.5805 56 8 4 0 0 0 0 0 8.51
17 4.9632 54 8 3 1 0 0 0 0 10.88
18 4.1045 44 4 5 2 0 0 0 0 10.72
19 6.6197 47 7 3 0 0 0 0 0 7.10
#421 Hage, Bruno
Division Production Optics Class U Category Grand Senior Factor Minor Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.8485 92 14 7 1 0 2 0 0 38.95
2 4.9302 53 10 1 0 0 0 0 0 10.75
3 2.7329 103 17 6 0 0 1 0 0 34.03
4 1.7133 123 18 11 0 0 3 0 0 54.28
5 1.4542 91 14 7 0 0 3 0 1 35.07
6 3.6624 46 6 5 1 0 0 0 0 12.56
7 2.9462 120 13 18 1 0 0 0 0 40.73
8 2.2640 53 10 1 0 0 0 0 0 23.41
9 1.8005 96 14 8 2 0 0 0 0 53.32
10 2.9309 109 20 3 0 0 0 0 0 37.19
11 0.0000 25 5 0 0 0 4 0 0 7.92
12 3.1270 50 7 5 0 0 0 0 0 15.99
13 2.8712 127 18 12 1 0 1 0 0 40.75
14 4.0031 104 16 8 0 0 0 0 0 25.98
15 1.0956 81 11 8 2 0 3 0 0 46.55
16 5.2838 54 9 3 0 0 0 0 0 10.22
17 4.2345 52 8 4 0 0 0 0 0 12.28
18 2.5953 47 7 4 0 0 0 0 0 18.11
19 3.7849 38 5 4 1 0 0 0 0 10.04
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 30 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#422 Randers, Henrik
Division Production Optics Class U Category Senior Factor Minor Squad 37
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.9244 95 14 8 1 0 1 0 0 44.17
2 3.1136 51 9 2 0 0 0 0 0 16.38
3 2.2821 116 22 2 0 0 0 0 0 50.83
4 2.3321 143 27 2 2 0 1 0 0 57.03
5 1.9281 86 13 6 3 0 2 0 0 34.23
6 3.2493 58 11 1 0 0 0 0 0 17.85
7 2.4232 142 24 7 1 0 0 0 0 58.60
8 1.0083 37 6 2 1 0 2 0 0 16.86
9 2.1959 102 15 9 0 0 0 0 0 46.45
10 2.3241 111 21 2 0 0 0 0 0 47.76
11 2.0378 38 7 1 0 0 1 0 0 13.74
12 1.6022 49 8 3 0 0 1 1 0 18.10
13 1.1252 134 25 3 0 0 4 0 0 83.54
14 2.4266 91 13 8 2 0 1 0 0 33.38
15 1.4813 99 18 3 0 0 3 0 0 46.58
16 3.8023 60 12 0 0 0 0 0 0 15.78
17 3.5409 58 11 1 0 0 0 0 0 16.38
18 2.7880 53 10 1 0 0 0 0 0 19.01
19 3.7097 46 8 2 0 0 0 0 0 12.40
#423 Gunbjørnsen, Anders
Division Production Optics Class U Category Grand Senior Factor Minor Squad 37
Stage Factor PTS A C D Ded. MI NS PE Time
3 0.0000 0 0 0 0 0 0 0 0 0.00
4 0.0000 0 0 0 0 0 0 0 0 0.00
5 0.0000 0 0 0 0 0 0 0 0 0.00
6 0.0000 0 0 0 0 0 0 0 0 0.00
7 0.0000 0 0 0 0 0 0 0 0 0.00
9 0.0000 0 0 0 0 0 0 0 0 0.00
11 0.0000 0 0 0 0 0 0 0 0 0.00
15 0.0000 0 0 0 0 0 0 0 0 0.00
16 0.0000 0 0 0 0 0 0 0 0 0.00
17 0.0000 0 0 0 0 0 0 0 0 0.00
18 0.0000 0 0 0 0 0 0 0 0 0.00
19 0.0000 0 0 0 0 0 0 0 0 0.00
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 31 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#428 Perrot, Manuela
Division Optics Class U Category Lady Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.6389 104 17 6 1 0 0 0 0 39.41
2 3.2871 55 11 0 0 0 0 1 0 13.69
3 3.3786 112 20 4 0 0 0 0 0 33.15
4 4.2796 150 27 5 0 0 0 0 0 35.05
5 3.5370 110 19 5 0 0 0 0 0 31.10
6 3.7599 52 8 4 0 0 0 0 0 13.83
7 3.5495 156 30 2 0 0 0 0 0 43.95
8 2.8388 53 10 1 0 0 0 0 0 18.67
9 2.1711 102 15 9 0 0 0 0 0 46.98
10 3.7984 107 20 2 1 0 0 0 0 28.17
11 3.1083 35 6 1 2 0 0 0 0 11.26
12 2.0794 54 9 3 0 0 0 1 0 21.16
13 3.8623 156 30 2 0 0 0 0 0 40.39
14 3.3694 112 20 4 0 0 0 0 0 33.24
15 1.8325 101 18 3 2 0 1 0 0 49.66
16 4.5340 54 9 3 0 0 0 0 0 11.91
17 3.4286 60 12 0 0 0 0 0 0 17.50
18 2.5561 49 8 3 0 0 0 0 0 19.17
19 4.0472 48 9 1 0 0 0 0 0 11.86
#429 Perrot, Laurent
Division Optics Class U Category Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.4571 110 19 5 0 0 0 0 0 24.68
2 5.3817 43 6 4 1 0 0 0 0 7.99
3 5.7831 120 24 0 0 0 0 0 0 20.75
4 6.4930 152 28 4 0 0 0 0 0 23.41
5 4.8605 108 18 6 0 0 0 0 0 22.22
6 6.6194 56 10 2 0 0 0 0 0 8.46
7 5.0035 144 25 6 1 0 0 0 0 28.78
8 5.1256 51 10 0 1 0 0 0 0 9.95
9 3.7447 98 14 9 1 0 0 0 0 26.17
10 6.0000 111 21 2 0 0 0 0 0 18.50
11 6.0563 43 8 1 0 0 0 0 0 7.10
12 4.7986 56 10 2 0 0 0 0 0 11.67
13 5.6806 154 29 3 0 0 0 0 0 27.11
14 5.0048 104 16 8 0 0 0 0 0 20.78
15 2.8095 101 17 5 1 0 1 0 0 32.39
16 5.4601 54 9 3 0 0 0 0 0 9.89
17 5.8366 60 12 0 0 0 0 0 0 10.28
18 3.4117 45 7 3 1 0 0 0 0 13.19
19 4.7619 40 5 5 0 0 0 0 0 8.40
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 32 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#431 Greve, Bjorn
Division Open Class U Category Factor Major Squad 20
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.9630 114 18 6 0 0 0 0 0 22.97
2 7.8704 51 7 4 0 0 0 0 0 6.48
3 5.6317 111 17 6 1 0 0 0 0 19.71
4 3.8603 146 26 4 0 0 2 0 0 32.64
5 4.3205 110 16 7 1 0 0 0 0 25.46
6 6.3901 57 9 3 0 0 0 0 0 8.92
7 5.4427 150 22 10 0 0 0 0 0 27.56
8 2.7282 52 8 3 0 0 0 0 0 19.06
9 4.1363 102 10 12 2 0 0 0 0 24.66
10 5.3737 110 20 2 1 0 0 0 0 20.47
11 7.6257 44 8 1 0 0 0 0 0 5.77
12 5.0913 53 5 7 0 0 0 0 0 10.41
13 5.3487 145 25 4 2 0 1 0 0 25.24
14 6.2536 109 13 11 0 0 0 0 0 17.43
15 2.9055 99 13 8 1 0 2 0 0 27.19
16 7.0932 51 5 6 1 0 0 0 0 7.19
17 7.0048 58 10 2 0 0 0 0 0 8.28
18 4.0489 53 9 2 0 0 0 0 0 13.09
19 6.1728 45 5 5 0 0 0 0 0 7.29
#435 Bäckström, Bengt
Division Classic Class U Category S. Senior Factor Minor Squad 37
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.7785 108 18 6 0 0 0 0 0 38.87
2 4.9395 49 8 3 0 0 0 0 0 9.92
3 2.5770 108 18 6 0 0 0 0 0 41.91
4 4.3234 154 29 3 0 0 0 0 0 35.62
5 3.1599 109 20 3 0 0 1 0 0 31.33
6 4.2658 52 9 2 1 0 0 0 0 12.19
7 3.9014 144 24 8 0 0 0 0 0 36.91
8 2.8944 51 10 0 1 0 0 0 0 17.62
9 3.0397 108 19 4 1 0 0 0 0 35.53
10 2.6697 107 19 4 0 0 0 0 0 40.08
11 2.4683 35 5 3 1 0 0 0 0 14.18
12 0.7905 44 7 3 0 0 2 1 0 17.71
13 2.7697 134 23 6 1 0 2 0 0 41.16
14 2.9439 96 13 10 1 0 0 0 0 32.61
15 1.8816 99 15 8 0 0 1 0 0 47.30
16 3.6437 54 9 3 0 0 0 0 0 14.82
17 4.8576 58 11 1 0 0 0 0 0 11.94
18 3.2166 45 7 3 1 0 0 0 0 13.99
19 2.8226 28 1 7 2 0 0 0 0 9.92
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 33 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#438 Holmberg, Daniel
Division Open Class U Category Senior Factor Major Squad 27
Stage Factor PTS A C D Ded. MI NS PE Time
1 5.3327 109 15 8 1 0 0 0 0 20.44
2 6.1155 54 10 1 0 0 0 0 0 8.83
3 7.1813 120 24 0 0 0 0 0 0 16.71
4 5.0230 141 21 8 2 0 1 0 0 26.08
5 6.9601 117 21 3 0 0 0 0 0 16.81
6 7.4454 58 10 2 0 0 0 0 0 7.79
7 6.2917 151 23 9 0 0 0 0 0 24.00
8 7.3826 55 11 0 0 0 0 0 0 7.45
9 4.7598 108 14 9 1 0 0 0 0 22.69
10 7.2575 113 21 2 0 0 0 0 0 15.57
11 1.8743 37 3 5 1 0 0 2 0 9.07
12 5.3465 54 6 6 0 0 0 0 0 10.10
13 5.5100 141 21 7 4 0 0 0 0 25.59
14 7.3480 110 16 7 1 0 0 0 0 14.97
15 3.3535 103 15 7 0 0 2 0 0 24.75
16 7.6613 57 9 3 0 0 0 0 0 7.44
17 6.0988 58 10 2 0 0 0 0 0 9.51
18 5.6625 50 8 2 1 0 0 0 0 8.83
19 7.4018 49 9 1 0 0 0 0 0 6.62
#439 Geerts, Hans
Division Open Class U Category Grand Senior Factor Major Squad 38
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.0126 108 14 9 1 0 0 0 0 35.85
2 3.7834 51 7 4 0 0 0 0 0 13.48
3 2.8489 109 17 6 0 0 1 0 0 34.75
4 3.5984 157 29 3 0 0 0 0 0 43.63
5 3.1444 106 18 3 2 0 1 0 0 30.53
6 3.6991 59 11 1 0 0 0 0 0 15.95
7 3.5415 152 26 5 1 0 0 0 0 42.92
8 2.3451 53 9 2 0 0 0 0 0 22.60
9 2.4130 111 17 6 1 0 0 0 0 46.00
10 1.9454 109 19 3 1 0 0 0 0 56.03
11 4.5652 42 6 3 0 0 0 0 0 9.20
12 0.8133 51 7 4 0 0 1 2 0 25.82
13 2.3485 130 18 9 2 0 3 0 0 42.58
14 1.9468 90 6 14 2 0 2 1 0 30.82
15 1.6935 103 19 1 2 0 2 0 0 49.01
16 4.1053 53 7 4 1 0 0 0 0 12.91
17 1.3559 57 9 3 0 0 0 0 0 42.04
18 0.9370 35 3 3 4 0 1 0 0 26.68
19 4.0082 39 3 5 2 0 0 0 0 9.73
