Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#144 Meyer, Andre
Division Production Optics Class U Category S. Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.7109 99 15 8 0 0 1 0 0 32.83
2 0.8166 47 8 2 1 0 0 1 0 45.31
3 3.0534 116 22 2 0 0 0 0 0 37.99
4 4.1578 156 30 2 0 0 0 0 0 37.52
5 3.7075 108 18 6 0 0 0 0 0 29.13
6 4.6667 56 10 2 0 0 0 0 0 12.00
7 4.0719 154 29 3 0 0 0 0 0 37.82
8 4.7111 53 10 1 0 0 0 0 0 11.25
9 3.3772 118 23 1 0 0 0 0 0 34.94
10 3.8801 101 17 5 1 0 0 0 0 26.03
11 4.2141 37 5 4 0 0 0 0 0 8.78
12 3.7895 54 9 3 0 0 0 0 0 14.25
13 3.2840 122 19 7 6 0 0 0 0 37.15
14 5.0352 100 15 8 1 0 0 0 0 19.86
15 2.3908 91 12 10 1 0 1 0 0 33.88
16 2.7749 47 7 4 0 0 1 1 0 9.73
17 4.0698 56 10 2 0 0 0 0 0 13.76
18 3.6119 51 9 2 0 0 0 0 0 14.12
19 4.8000 42 6 4 0 0 0 0 0 8.75
#341 Prehn, Michaela
Division Standard Class U Category Lady Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
1 0.5770 77 12 5 2 0 5 0 0 46.79
2 0.7508 45 9 0 0 0 2 1 0 19.98
3 1.2160 92 14 7 1 0 2 0 0 59.21
4 1.6669 134 25 2 3 0 2 0 0 68.39
5 0.6988 81 14 3 2 0 5 0 0 44.36
6 0.0000 29 5 1 1 0 5 0 2 17.17
7 2.3415 130 21 7 4 0 0 0 0 55.52
8 1.2206 41 7 1 3 0 0 0 0 33.59
9 0.6692 74 9 9 2 0 4 0 0 50.81
10 1.4986 107 19 4 0 0 0 0 0 71.40
11 0.0000 33 4 4 1 0 0 4 0 15.20
12 1.4006 45 8 1 2 0 1 0 0 24.99
13 1.2433 115 21 2 4 0 5 0 0 52.28
14 2.0844 95 15 6 2 0 1 0 0 40.78
15 1.1017 92 17 2 1 0 4 0 0 47.20
16 1.2389 41 6 3 2 0 1 1 0 16.95
17 2.6667 60 12 0 0 0 0 0 0 22.50
18 0.9369 49 8 3 0 0 0 0 0 52.30
19 2.3270 38 5 4 1 0 0 0 0 16.33
